"name"	"formals"	"inherited_from_0_4"
"advanced_pupil_trajectory_table"	"prediction=<MISSING>; probability=0.95"	FALSE
"analysis_bundle_table"	"x=<MISSING>"	TRUE
"analysis_manifest_table"	"manifest=<MISSING>"	TRUE
"apply_transformation_recipe"	"new_data=<MISSING>; recipe=<MISSING>; input_scale=c(""raw"", ""prepared""); require_outcome=FALSE; input_unit=NULL"	TRUE
"as_pupil_prediction_draws"	"draws=<MISSING>; grid=<MISSING>; unit=<MISSING>; type=c(""expected"", ""posterior_predictive"", ""linear""); max_cells=5000000L"	TRUE
"assess_binary_prior_sensitivity"	"fit=<MISSING>; scale_multipliers=c(tighter = 0.5, wider = 2); chains=fit$sampling$chains; iter=fit$sampling$iter; warmup=fit$sampling$warmup; cores=fit$sampling$cores; seed=fit$sampling$seed + 1000L; adapt_delta=fit$sampling$adapt_delta; max_treedepth=fit$sampling$max_treedepth; refresh=0L; maximum_standardized_shift=0.25; review_standardized_shift=0.5; retain_fits=FALSE"	TRUE
"assess_duration_prior_sensitivity"	"fit=<MISSING>; scale_multipliers=c(tighter = 0.5, wider = 2); chains=fit$sampling$chains; iter=fit$sampling$iter; warmup=fit$sampling$warmup; cores=fit$sampling$cores; seed=fit$sampling$seed + 2000L; adapt_delta=fit$sampling$adapt_delta; max_treedepth=fit$sampling$max_treedepth; refresh=0L; maximum_standardized_shift=0.25; review_standardized_shift=0.5; retain_fits=FALSE"	TRUE
"assess_powerscaled_sensitivity"	"fit=<MISSING>; variable=NULL; prior_selection=NULL; likelihood_selection=NULL"	TRUE
"audit_advanced_pupil_identifiability"	"specification=<MISSING>"	FALSE
"audit_backend_parity"	"rstan_fit=<MISSING>; cmdstanr_fit=<MISSING>; variables=NULL; mcse_multiplier=3; absolute_tolerance=0; relative_sd_tolerance=0.1"	TRUE
"audit_binocular_pupil_readiness"	"prepared=<MISSING>"	FALSE
"audit_design_support"	"x=<MISSING>; contract=NULL; separation=FALSE; strict_readiness=TRUE"	TRUE
"audit_duration_boundaries"	"data=<MISSING>; contract=<MISSING>; allowed_range=NULL; censor_col=NULL; detect_candidate_columns=TRUE"	TRUE
"audit_duration_unit_invariance"	"reference=<MISSING>; converted=<MISSING>; multiplier=<MISSING>; tolerance=0.02"	TRUE
"audit_estimand_invariance"	"reference=<MISSING>; alternative=<MISSING>; quantity=reference$primary_quantity; tolerance=<MISSING>"	TRUE
"audit_fixed_effect_design"	"x=<MISSING>; contract=NULL; condition_number_review=30; condition_number_fail=100; leverage_multiplier=3"	TRUE
"audit_missingness_structure"	"x=<MISSING>; contract=NULL; review_fraction=0.05; fail_fraction=0.2"	TRUE
"audit_model_readiness"	"data=<MISSING>; contract=<MISSING>"	TRUE
"audit_model_readiness_strict"	"data=<MISSING>; contract=<MISSING>; condition_warning_fraction=0.1; condition_failure_fraction=0.02; identifier_unique_fraction=0.9; duration_allowed_range=NULL; censor_col=NULL; run_separation=TRUE"	TRUE
"audit_prediction_support"	"fit=<MISSING>; newdata=<MISSING>"	TRUE
"audit_pupil_computational_budget"	"x=<MISSING>"	FALSE
"audit_pupil_measurement_context"	"x=<MISSING>"	TRUE
"audit_pupil_measurement_model"	"specification=<MISSING>"	FALSE
"audit_pupil_missingness"	"specification=<MISSING>"	FALSE
"audit_pupil_predictive_calibration"	"fit=<MISSING>; newdata=<MISSING>; ndraws=500L; probability=0.9; population_only=FALSE; allow_new_levels=FALSE"	FALSE
"audit_pupil_readiness"	"x=<MISSING>; contract=NULL"	TRUE
"audit_pupil_temporal_dependence"	"x=<MISSING>; max_lag=10L"	FALSE
"audit_random_effects_support"	"x=<MISSING>; contract=NULL; minimum_repeated_rows=2L; minimum_group_levels=2L; minimum_condition_cell_rows=2L"	TRUE
"backend_capabilities"	""	TRUE
"backend_environment_table"	"x=<MISSING>"	TRUE
"backend_parity_table"	"x=<MISSING>"	TRUE
"bayesian_backend_capabilities"	""	TRUE
"binary_calibration_error"	"x=<MISSING>; observed=NULL; bins=10L"	TRUE
"binary_calibration_table"	"x=<MISSING>; bins=10L; probs=c(0.025, 0.5, 0.975)"	TRUE
"binary_calibration_uncertainty"	"fit=<MISSING>; newdata=NULL; bins=10L; include_group_effects=FALSE; ndraws=1000L; probs=c(0.025, 0.5, 0.975)"	TRUE
