name	source
audit_advanced_pupil_identifiability	pupil-advanced-audit.R
pupil_identifiability_table	pupil-advanced-audit.R
score_pupil_predictions	pupil-advanced-audit.R
audit_pupil_predictive_calibration	pupil-advanced-audit.R
audit_pupil_temporal_dependence	pupil-advanced-diagnostics.R
pupil_autocorrelation_table	pupil-advanced-diagnostics.R
compare_pupil_autocorrelation	pupil-advanced-diagnostics.R
diagnose_advanced_pupil_fit	pupil-advanced-diagnostics.R
pupil_residual_spectrum	pupil-advanced-diagnostics.R
predict_advanced_pupil_trajectory	pupil-advanced-estimands.R
advanced_pupil_trajectory_table	pupil-advanced-estimands.R
estimate_pupil_residual_scale	pupil-advanced-estimands.R
pupil_residual_scale_table	pupil-advanced-estimands.R
pupil_gp_hyperparameters	pupil-advanced-estimands.R
pupil_gp_table	pupil-advanced-estimands.R
pupil_measurement_uncertainty_table	pupil-advanced-estimands.R
audit_pupil_measurement_model	pupil-advanced-estimands.R
audit_pupil_missingness	pupil-advanced-estimands.R
pupil_missingness_table	pupil-advanced-estimands.R
create_advanced_pupil_prior_specification	pupil-advanced-fit.R
translate_advanced_pupil_model_to_brms	pupil-advanced-fit.R
check_advanced_pupil_prior_predictive	pupil-advanced-fit.R
fit_advanced_pupil_model_backend	pupil-advanced-fit.R
fit_advanced_pupil_model	pupil-advanced-fit.R
fit_advanced_pupil_model_cmdstanr	pupil-advanced-fit.R
specify_pupil_distribution	pupil-advanced-governance.R
pupil_distribution_table	pupil-advanced-governance.R
pupil_advanced_compatibility_table	pupil-advanced-governance.R
create_pupil_advanced_sensitivity_suite	pupil-advanced-governance.R
materialize_pupil_advanced_sensitivity_scenario	pupil-advanced-governance.R
pupil_model_card	pupil-advanced-governance.R
pupil_model_card_table	pupil-advanced-governance.R
plot_advanced_pupil_simulation	pupil-advanced-graphics.R
plot_advanced_pupil_trajectory	pupil-advanced-graphics.R
plot_pupil_residual_scale	pupil-advanced-graphics.R
plot_pupil_gp_hyperparameters	pupil-advanced-graphics.R
plot_pupil_temporal_dependence	pupil-advanced-graphics.R
plot_pupil_autocorrelation_comparison	pupil-advanced-graphics.R
plot_pupil_missingness	pupil-advanced-graphics.R
plot_pupil_measurement_uncertainty	pupil-advanced-graphics.R
plot_binocular_pupil_trajectory	pupil-advanced-graphics.R
plot_pupil_model_comparison	pupil-advanced-graphics.R
plot_pupil_lfo	pupil-advanced-graphics.R
plot_pupil_response_parameters	pupil-advanced-graphics.R
plot_pupil_residual_spectrum	pupil-advanced-graphics.R
plot_pupil_model_complexity	pupil-advanced-graphics.R
plot_pupil_trajectory_derivative	pupil-advanced-graphics.R
plot_pupil_dynamic_contrast	pupil-advanced-graphics.R
plot_pupil_identifiability_audit	pupil-advanced-graphics.R
plot_pupil_predictive_calibration	pupil-advanced-graphics.R
simulate_advanced_pupil_timecourse	pupil-advanced-simulation.R
simulate_binocular_pupil_timecourse	pupil-advanced-simulation.R
simulate_pupil_response_shape	pupil-advanced-simulation.R
create_pupil_measurement_model	pupil-advanced-specification.R
create_pupil_missingness_spec	pupil-advanced-specification.R
create_pupil_gp_spec	pupil-advanced-specification.R
create_pupil_arma_spec	pupil-advanced-specification.R
specify_advanced_pupil_timecourse_model	pupil-advanced-specification.R
audit_pupil_computational_budget	pupil-advanced-specification.R
pupil_advanced_specification_table	pupil-advanced-specification.R
pupil_advanced_mapping_table	pupil-advanced-utils.R
pupil_advanced_capabilities	pupil-advanced-utils.R
prepare_binocular_pupil_timecourse	pupil-binocular.R
audit_binocular_pupil_readiness	pupil-binocular.R
specify_binocular_pupil_model	pupil-binocular.R
translate_binocular_pupil_model_to_brms	pupil-binocular.R
fit_binocular_pupil_model	pupil-binocular.R
estimate_binocular_pupil_trajectory	pupil-binocular.R
pupil_binocular_difference	pupil-binocular.R
pupil_binocular_correlation	pupil-binocular.R
pupil_binocular_agreement_table	pupil-binocular.R
estimate_pupil_trajectory_derivative	pupil-functional-estimands.R
pupil_trajectory_derivative_table	pupil-functional-estimands.R
estimate_pupil_dynamic_contrast	pupil-functional-estimands.R
pupil_dynamic_contrast_table	pupil-functional-estimands.R
estimate_pupil_threshold_duration	pupil-functional-estimands.R
create_pupil_model_set	pupil-model-comparison.R
compare_pupil_models	pupil-model-comparison.R
pupil_model_comparison_table	pupil-model-comparison.R
pupil_model_weights	pupil-model-comparison.R
create_pupil_lfo_plan	pupil-model-comparison.R
validate_pupil_leave_future_out	pupil-model-comparison.R
compare_pupil_lfo	pupil-model-comparison.R
specify_pupil_response_shape_model	pupil-response-shape.R
translate_pupil_response_shape_to_brms	pupil-response-shape.R
fit_pupil_response_shape_model	pupil-response-shape.R
estimate_pupil_response_parameters	pupil-response-shape.R
pupil_response_parameter_table	pupil-response-shape.R
