method	source
print.gp3bayes_pupil_identifiability_audit	pupil-advanced-audit.R
as.data.frame.gp3bayes_pupil_identifiability_audit	pupil-advanced-audit.R
print.gp3bayes_pupil_predictive_score	pupil-advanced-audit.R
as.data.frame.gp3bayes_pupil_predictive_score	pupil-advanced-audit.R
print.gp3bayes_pupil_predictive_calibration	pupil-advanced-audit.R
print.gp3bayes_pupil_temporal_dependence_audit	pupil-advanced-diagnostics.R
as.data.frame.gp3bayes_pupil_temporal_dependence_audit	pupil-advanced-diagnostics.R
print.gp3bayes_pupil_autocorrelation_comparison	pupil-advanced-diagnostics.R
as.data.frame.gp3bayes_pupil_autocorrelation_comparison	pupil-advanced-diagnostics.R
print.gp3bayes_pupil_advanced_diagnostics	pupil-advanced-diagnostics.R
as.data.frame.gp3bayes_pupil_advanced_diagnostics	pupil-advanced-diagnostics.R
print.gp3bayes_pupil_residual_spectrum	pupil-advanced-diagnostics.R
as.data.frame.gp3bayes_pupil_residual_spectrum	pupil-advanced-diagnostics.R
print.gp3bayes_pupil_advanced_trajectory	pupil-advanced-estimands.R
as.data.frame.gp3bayes_pupil_advanced_trajectory	pupil-advanced-estimands.R
print.gp3bayes_pupil_residual_scale	pupil-advanced-estimands.R
as.data.frame.gp3bayes_pupil_residual_scale	pupil-advanced-estimands.R
print.gp3bayes_pupil_gp_hyperparameters	pupil-advanced-estimands.R
as.data.frame.gp3bayes_pupil_gp_hyperparameters	pupil-advanced-estimands.R
print.gp3bayes_pupil_missingness_audit	pupil-advanced-estimands.R
as.data.frame.gp3bayes_pupil_missingness_audit	pupil-advanced-estimands.R
print.gp3bayes_pupil_advanced_brms_specification	pupil-advanced-fit.R
print.gp3bayes_pupil_advanced_fit	pupil-advanced-fit.R
print.gp3bayes_pupil_advanced_prior_predictive	pupil-advanced-fit.R
print.gp3bayes_pupil_distribution_spec	pupil-advanced-governance.R
print.gp3bayes_pupil_advanced_sensitivity_suite	pupil-advanced-governance.R
as.data.frame.gp3bayes_pupil_advanced_sensitivity_suite	pupil-advanced-governance.R
print.gp3bayes_pupil_model_card	pupil-advanced-governance.R
as.data.frame.gp3bayes_pupil_model_card	pupil-advanced-governance.R
print.gp3bayes_pupil_measurement_audit_05	pupil-advanced-governance.R
as.data.frame.gp3bayes_pupil_measurement_audit_05	pupil-advanced-governance.R
print.gp3bayes_pupil_advanced_simulation	pupil-advanced-simulation.R
print.gp3bayes_binocular_pupil_simulation	pupil-advanced-simulation.R
print.gp3bayes_pupil_advanced_specification	pupil-advanced-specification.R
as.data.frame.gp3bayes_pupil_advanced_specification	pupil-advanced-specification.R
print.gp3bayes_pupil_complexity_audit	pupil-advanced-specification.R
as.data.frame.gp3bayes_pupil_complexity_audit	pupil-advanced-specification.R
print.gp3bayes_binocular_pupil_prepared	pupil-binocular.R
print.gp3bayes_binocular_pupil_audit	pupil-binocular.R
as.data.frame.gp3bayes_binocular_pupil_audit	pupil-binocular.R
print.gp3bayes_binocular_pupil_specification	pupil-binocular.R
print.gp3bayes_binocular_pupil_fit	pupil-binocular.R
print.gp3bayes_binocular_pupil_trajectory	pupil-binocular.R
print.gp3bayes_pupil_trajectory_derivative	pupil-functional-estimands.R
as.data.frame.gp3bayes_pupil_trajectory_derivative	pupil-functional-estimands.R
print.gp3bayes_pupil_dynamic_contrast	pupil-functional-estimands.R
as.data.frame.gp3bayes_pupil_dynamic_contrast	pupil-functional-estimands.R
print.gp3bayes_pupil_threshold_duration	pupil-functional-estimands.R
as.data.frame.gp3bayes_pupil_threshold_duration	pupil-functional-estimands.R
print.gp3bayes_pupil_model_set	pupil-model-comparison.R
print.gp3bayes_pupil_model_comparison	pupil-model-comparison.R
as.data.frame.gp3bayes_pupil_model_comparison	pupil-model-comparison.R
print.gp3bayes_pupil_lfo_plan	pupil-model-comparison.R
as.data.frame.gp3bayes_pupil_lfo_plan	pupil-model-comparison.R
print.gp3bayes_pupil_lfo_validation	pupil-model-comparison.R
print.gp3bayes_pupil_lfo_comparison	pupil-model-comparison.R
as.data.frame.gp3bayes_pupil_lfo_comparison	pupil-model-comparison.R
print.gp3bayes_pupil_response_shape_specification	pupil-response-shape.R
print.gp3bayes_pupil_response_shape_fit	pupil-response-shape.R
print.gp3bayes_pupil_response_parameters	pupil-response-shape.R
as.data.frame.gp3bayes_pupil_response_parameters	pupil-response-shape.R
